Rank,Company,Headquarters_Headquarters,USA_Retail_Sales_million,USA_Sales_Growth_14vs13,Worldwide_ Retail_ Sales_million,USA_percentage_Worldwide_ Sales,Number_Stores,Growth 14vs13
27,WakeFern / ShopRite,"Keasbey, N.J.",14985000,0.06,14985000,1,330,0.05
26,Meijer,"Grand Rapids, Mich.",15689000,0,15689000,1,213,0.04
25,Delhaize America,"Salisbury, N.C.",17069000,-0.09,28417000,0.6,1361,-0.10
24,Dollar General,"Googlettsville, Tenn.",18910000,0.08,18910000,1,11789,0.06
23,Kohl's,"Menomonee Falls, Wis.",19023000,0,19023000,1,1162,0.00
22,Albertsons,"Boise, Idaho",19458000,0,19458000,1,1108,0.08
21,YUM! Brands,"Louisville, Ky.",19727000,0.03,31051000,0.64,17326,0.01
20,H-E-B Grocery,"San Antonio, Texas",19819000,0.06,21166000,0.94,317,0.02
19,TJX,"Framingham, Mass.",22206000,0.06,29061000,0.76,2569,0.05
18,Sears Holdings,"Hoffman Estates, Ill.",25763000,-0.12,26792000,0.96,1659,-0.13
17,Royal Ahold / Ahold USA,"Carlisle, Pa.",25976000,-0.01,44121000,0.59,768,0.00
16,Rite Aid,"Camp Hill, Pa.",26528000,0.04,26528000,1,4570,0.00
15,Macy's,"Cincinnati, Ohio",28027000,0.01,28105000,1,821,-0.02
14,Apple Store / iTunes,"Cupertino, Calif.",28380000,0.07,32879000,0.86,259,0.02
13,Publix Super Markets,"Lakeland, Fla.",30560000,0.06,30560000,1,1296,0.02
12,McDonald's,"Oak Brook, Ill.",35447000,-0.01,87786000,0.4,14350,0.01
11,Best Buy,"Richfield, Minn.",35957000,0,42437000,0.85,1445,-0.03
10,Safeway,"Pleasanton, Calif.",36330000,-0.02,36330000,1,1326,-0.01
9,Amazon.com,Seattle,49353000,0.23,83391000,0.59,N/A,N/A
8,Lowe's Companies,"Mooresville, N.C.",54805000,0.05,56203000,0.98,1793,0.04
7,CVS Caremark,"Woonsocket, R.I.",67974000,0.04,69132000,0.98,7808,0.02
6,Target,Minneapolis,72618000,0.02,74564000,0.97,1790,0.00
5,Walgreen,"Deerfield, Ill.",72671000,0.06,75085000,0.97,8157,0.01
4,The Home Depot,Atlanta,74203000,0.04,83195000,0.89,1965,0.00
3,Costco,"Issaquah, Wash.",79694000,0.07,111530000,0.72,464,0.04
2,The Kroger Co.,"Cincinnati, Ohio",103033000,0.1,103033000,1,3730,0.06
1,Wal-Mart Stores,"Bentonville, Ark.",343624000,0.03,508465000,0.68,5109,0.07
